ID,Label,Node Type,All Pros,Pro Bowls,Draft Age,Round Selected,Pick In Round,Position
PL936,D.J. White,Player,0,0,22,6,178,CB
PL946,Anthony Brown,Player,0,0,22,6,189,CB
PL953,Blake Countess,Player,0,0,23,6,196,CB
PL962,Harlan Miller,Player,0,0,22,6,205,CB
PL966,Maurice Canady,Player,0,0,22,6,209,CB
PL974,Kevon Seymour,Player,0,0,22,6,218,CB
PL1005,Prince Charles Iworah,Player,0,0,23,7,249,CB
PL1009,Kalan Reed,Player,0,0,22,7,253,CB
PL1020,Trae Waynes,Player,0,0,23,1,11,CB
PL1025,Kevin Johnson,Player,0,0,23,1,16,CB
PL1027,Marcus Peters,Player,1,2,22,1,18,CB
PL1036,Byron Jones,Player,0,1,22,1,27,CB
PL1051,Jalen Collins,Player,0,0,22,2,42,CB
PL1056,Eric Rowe,Player,0,0,22,2,47,CB
PL1059,Ronald Darby,Player,0,0,21,2,50,CB
PL1065,Senquez Golson,Player,0,0,22,2,56,CB
PL1071,Quinten Rollins,Player,0,0,23,2,62,CB
PL1074,D'Joun Smith,Player,0,0,22,3,65,CB
PL1087,P.J. Williams,Player,0,0,22,3,78,CB
PL1089,Alex Carter,Player,0,0,20,3,80,CB
PL1092,Craig Mager,Player,0,0,23,3,83,CB
PL1107,Steven Nelson,Player,0,0,22,3,98,CB
PL1129,Josh Shaw,Player,0,0,23,4,120,CB
PL1130,Doran Grant,Player,0,0,22,4,121,CB
PL1145,Tray Walker,Player,0,0,23,4,136,CB
PL1154,Bobby McCain,Player,0,0,22,5,145,CB
PL1173,Lorenzo Doss,Player,0,0,21,5,164,CB
PL1175,Damian Swann,Player,0,0,22,5,167,CB
PL1178,Tye Smith,Player,0,0,22,5,170,CB
PL1190,Tevin Mitchel,Player,0,0,23,6,182,CB
PL1197,Charles Gaines,Player,0,0,22,6,189,CB
PL1199,JaCorey Shepherd,Player,0,0,22,6,191,CB
PL1204,Randall Evans,Player,0,0,23,6,196,CB
PL1208,Quandre Diggs,Player,0,0,22,6,200,CB
PL1249,Ifo Ekpre-Olomu,Player,0,0,22,7,241,CB
PL1250,Dexter McDonald,Player,0,0,23,7,242,CB
PL1255,Darryl Roberts,Player,0,0,24,7,247,CB
CG19,Georgia,College,0,0,0,0,0,0
CG20,Washington,College,0,0,0,0,0,0
CG22,Temple,College,0,0,0,0,0,0
CG26,Central Michigan,College,0,0,0,0,0,0
CG3,Clemson,College,0,0,0,0,0,0
CG30,Vanderbilt,College,0,0,0,0,0,0
CG4,LSU,College,0,0,0,0,0,0
CG6,Kentucky,College,0,0,0,0,0,0
CG9,Michigan,College,0,0,0,0,0,0
CG49,Michigan St.,College,0,0,0,0,0,0
CG55,Auburn,College,0,0,0,0,0,0
CG17,Notre Dame,College,0,0,0,0,0,0
CG1,Ohio St.,College,0,0,0,0,0,0
CG54,USC,College,0,0,0,0,0,0
CG8,Houston,College,0,0,0,0,0,0
CG33,Penn St.,College,0,0,0,0,0,0
CG63,Miami (FL),College,0,0,0,0,0,0
CG77,Washburn,College,0,0,0,0,0,0
CG40,Toledo,College,0,0,0,0,0,0
CG76,Rutgers,College,0,0,0,0,0,0
CG39,Virginia,College,0,0,0,0,0,0
CG24,South Carolina,College,0,0,0,0,0,0
CG27,Kansas St.,College,0,0,0,0,0,0
