ID,Label,Node Type,All Pros,Pro Bowls,Draft Age,Year Drafted,Round Selected,Pick In Round,Position,College,NFLTeam
PL4579,Leonard Davis,Player,0,3,23,2001,1,2,T,Texas,ARI
PL4594,Steve Hutchinson,Player,5,7,23,2001,1,17,G,Michigan,SEA
PL4625,Matt Light,Player,1,3,23,2001,2,48,T,Purdue,NWE
PL4826,Chris Samuels,Player,0,6,23,2000,1,3,T,Alabama,WAS
PL4861,Marvel Smith,Player,0,1,22,2000,2,38,T,Arizona St.,PIT
PL4867,Chad Clifton,Player,0,2,24,2000,2,44,T,Tennessee,GNB
PL5094,Damien Woody,Player,0,1,21,1999,1,17,C,Boston Col.,NWE
PL5336,Kyle Turley,Player,1,0,22,1998,1,7,T,San Diego St.,NOR
PL5340,Tra Thomas,Player,0,3,23,1998,1,11,T,Florida St.,PHI
PL5355,Alan Faneca,Player,6,9,21,1998,1,26,G,LSU,PIT
PL5367,Flozell Adams,Player,0,5,23,1998,2,38,T,Michigan St.,DAL
PL5387,Jeremy Newberry,Player,0,2,22,1998,2,58,C,California,SFO
PL5393,Olin Kreutz,Player,1,6,21,1998,3,64,C,Washington,CHI
PL5502,Matt Birk,Player,0,6,22,1998,6,173,C,Harvard,MIN
PL5571,Orlando Pace HOF,Player,3,7,21,1997,1,1,T,Ohio St.,STL
PL5576,Walter Jones HOF,Player,4,9,23,1997,1,6,T,Florida St.,SEA
PL5589,Tarik Glenn,Player,0,3,21,1997,1,19,T,California,IND
PL5814,Jonathan Ogden HOF,Player,4,11,22,1996,1,4,T,UCLA,BAL
PL5820,Willie Anderson,Player,3,4,21,1996,1,10,T,Auburn,CIN
PL5833,Jeff Hartings,Player,1,2,24,1996,1,23,C,Penn St.,DET
PL5835,Jermane Mayberry,Player,0,1,23,1996,1,25,G,Texas A&M-Kingsville,PHI
PL5900,Mike Flanagan,Player,0,1,22,1996,3,90,C,UCLA,GNB
PL5919,Jon Runyan,Player,0,1,22,1996,4,109,T,Michigan,HOU
PL6018,Marco Rivera,Player,0,3,24,1996,6,208,G,Penn St.,GNB
PL6065,Tony Boselli,Player,3,5,23,1995,1,2,T,USC,JAX
PL6077,Ruben Brown,Player,0,9,23,1995,1,14,G,Pittsburgh,BUF
PL6087,Korey Stringer,Player,0,1,21,1995,1,24,T,Ohio St.,MIN
